#tweet_id,user_follower_count,user_followee_count,followers_per_followee,user_listed_count,user_status_count,user_bio_exists,word_count,unique_char_count,digits_count,url_count,urls_per_word,hashtag_count,hashtags_per_word,position_of_hashtag,swear_words_count,users_menttioned_count,spam_words_in_bio_count,spam_words_in_tweet_count,expanded_url_length,dot_in_expanded_url,no_of_subdomain,no_of_redirection,age_of_account,class
4.40E+17,0,0,0,0,13,0,8,16,0,0,0,0,0,-1,32,0,0,32,0,0,0,0,0,spam
4.40E+17,819,1993,0.410938284,0,3150,0,6,32,3,0,0,2,0.333333333,0,91,1,0,92,0,0,0,0,531,non-spam
4.40E+17,344,1157,0.297320657,0,1260,1,11,36,1,1,0.090909091,0,0,-1,94,0,35,96,62,3,1,1,46,spam
4.40E+17,269,300,0.896666667,1,1866,1,6,30,1,0,0,0,0,-1,52,0,70,53,0,0,0,0,957,non-spam
4.40E+17,405,151,2.682119205,0,3020,1,8,16,0,0,0,0,0,-1,42,0,10,42,0,0,0,0,783,non-spam
4.40E+17,624,603,1.034825871,1,11690,1,3,18,0,0,0,0,0,-1,34,1,31,34,0,0,0,0,584,non-spam
4.40E+17,1165,903,1.290143965,18,4026,1,5,20,0,0,0,0,0,-1,47,1,85,47,0,0,0,0,1135,non-spam
4.40E+17,207,193,1.07253886,0,10089,1,12,17,0,0,0,0,0,-1,55,0,43,55,0,0,0,0,765,non-spam
4.40E+17,52,74,0.702702703,1,1384,0,3,12,2,0,0,2,0.666666667,3,22,0,0,22,0,0,0,0,294,non-spam
4.40E+17,22,0,0,0,22999,1,14,38,2,1,0.071428571,1,0.071428571,87,99,0,32,101,0,0,-2,-1,39,spam
4.40E+17,172,210,0.819047619,2,112515,1,10,29,5,1,0.1,0,0,-1,67,1,155,68,22,2,0,1,374,non-spam
4.40E+17,722,865,0.834682081,8,20540,1,8,18,0,0,0,0,0,-1,41,0,62,41,0,0,0,0,1425,non-spam
4.40E+17,268,194,1.381443299,1,19338,1,20,28,0,0,0,0,0,-1,125,2,17,125,0,0,0,0,1076,non-spam
4.40E+17,3,5,0.6,0,13235,1,21,40,9,1,0.047619048,0,0,-1,137,0,33,138,73,2,3,3,147,spam
4.40E+17,1053,433,2.43187067,30,56980,1,8,17,3,0,0,0,0,-1,42,1,26,42,0,0,0,0,1086,non-spam
4.40E+17,232,207,1.120772947,1,3133,1,7,19,0,0,0,0,0,-1,39,0,147,40,0,0,0,0,1452,non-spam
4.40E+17,182,107,1.700934579,0,2696,1,8,17,0,0,0,0,0,-1,42,0,26,42,0,0,0,0,707,non-spam
4.40E+17,0,2,0,0,3761,0,11,37,6,1,0.090909091,0,0,-1,89,1,0,91,0,0,-2,-1,211,spam
4.40E+17,982,707,1.388967468,57,4836,1,7,30,1,1,0.142857143,0,0,-1,61,1,66,62,0,0,-2,-1,1806,non-spam
4.40E+17,10,53,0.188679245,0,61,1,12,27,4,1,0.083333333,0,0,-1,85,0,32,87,0,0,-2,-1,487,non-spam
4.40E+17,229,143,1.601398601,0,1675,0,7,14,0,0,0,0,0,-1,39,0,0,39,0,0,0,0,1149,non-spam
4.40E+17,758,752,1.007978723,0,10994,1,3,7,0,0,0,0,0,-1,13,0,36,13,0,0,0,0,471,non-spam
4.40E+17,317,189,1.677248677,0,13132,1,8,18,0,0,0,0,0,-1,42,0,14,42,0,0,0,0,838,non-spam
4.40E+17,0,0,0,0,18,0,12,38,5,1,0.083333333,0,0,-1,90,1,0,91,29,2,1,3,1,spam
